facility_id,facility_name,facility_type,ward_name,lga_name,sen_district,state_name,ownership,longitude,latitude
HF00260,Uzoyosa Primary Health Centre,Primary Health Centre,Agbratu,Agbmita,Agbzatu North,Agbzatu State,Public,7.908017,7.950908
HF00805,Baungowa Primary Health Centre,Primary Health Centre,Uzoyodu,Tamwata-South,Uzojina Central,Uzojina State,Public,10.148729,8.435272
HF00465,Enungoshi Primary Health Centre,Primary Health Centre,Olulusa,Umumayi,Agbzatu South,Agbzatu State,Public,7.805461,9.003807
HF01015,Riykema Primary Health Centre,Primary Health Centre,Soktiba,Funkedu,Supwasa Central,Supwasa State,Public,10.373417,11.38859
HF01201,Kadnami Comprehensive Health Centre,Comprehensive Health Centre,Adeketu,Daibewo,Agbkeko Central,Agbkeko State,Private,9.177497,9.482001
HF00273,Supnuwa Primary Health Centre,Primary Health Centre,Katlano,Malmaba,Agbzatu North,Agbzatu State,Public,7.565845,7.982768
HF00627,Iroduna Primary Health Centre,Primary Health Centre,Hanradu,Daidefa,Tivbetu Central,Tivbetu State,Public,7.045256,11.00942
HF00670,Duttiko Health Post,Health Post,Zamwari,Hanjiko,Tivbetu South,Tivbetu State,Public,8.619,11.144178
HF01243,Sokzayi Comprehensive Health Centre,Comprehensive Health Centre,Irowani,Hanjile,Agbkeko Central,Agbkeko State,Public,9.890179,9.661979
HF01067,Wurbesa Primary Health Centre,Primary Health Centre,Hantsishi,Okeyoru-South,Supwasa Central,Supwasa State,Public,9.875497,10.846114
HF00948,Kukrini Primary Health Centre,Primary Health Centre,Uzotsija,Adekeni,Supwasa North,Supwasa State,Public,"9°38'33.6""E","10°56'19.9""N"
HF00985,Hanluko Primary Health Centre,Primary Health Centre,Adesale,ZAMBANI,Supwasa Central,Supwasa State,Public,10.04905,11.212248
HF00573,Funrayi Primary Health Centre,Primary Health Centre,Adewadu,Dutwano,Tivbetu Central,Tivbetu State,Public,7.630692,11.172943
HF00512,Oluyota Primary Health Centre,Primary Health Centre,Adetsile,Bauzani,Tivbetu North,Tivbetu State,Public,8.1,10.52
HF00003,Sokriba Cottage Hospital,Cottage Hospital,Katzano,Maltsimi,Kukrima North,Kukrima State,Public,6.207094,9.310755
HF00770,Gwozaba Health Post,Health Post,Uzosawo,Tamluni,Uzojina North,Uzojina State,Public,8.442248,7.967341
HF00622,Okedushi Health Post,Health Post,Supsani,Daidefa ,Tivbetu Central,Tivbetu State,Public,6.945808,10.924193
