ward_code,ward_name,lga_code,lga_name,total_population,population_under5,population_source
W0021,Ekeluno,LGA071,Maltsimi,6698.0,1014.0,Projected 2026 from 2006 census
W0029,Katzano,LGA071,Maltsimi,12718.0,2321.0,Gridded population estimate 2024
W0030,Olumadu,LGA071,Maltsimi,16521.0,2961.0,Projected 2026 from 2006 census
W0041,Dutkoko,LGA071,Maltsimi,41424.0,6836.0,Projected 2026 from 2006 census
W0005,Oludeli,LGA061,Katmaba,6328.0,1113.0,Projected 2026 from 2006 census
W0006,Maltsisa,LGA061,Katmaba,57154.0,9109.0,Gridded population estimate 2024
W0007,Enunasa,LGA061,Katmaba,27475.0,4581.0,Projected 2026 from 2006 census
W0008,Shaluri,LGA104,Uzoluni,7290.0,1106.0,Projected 2026 from 2006 census
W0025,Dutrimi,LGA104,Uzoluni,21898.0,3311.0,Projected 2026 from 2006 census
W0031,Loklude,LGA104,Uzoluni,11375.0,1996.0,Projected 2026 from 2006 census
W0039,Funngoli,LGA104,Uzoluni,24916.0,4111.0,Projected 2026 from 2006 census
W0040,Yelluna,LGA104,Uzoluni,30616.0,5479.0,Projected 2026 from 2006 census
W0046,Banshali,LGA104,Uzoluni,18654.0,3357.0,Gridded population estimate 2024
W0033,Baukeshi,LGA086,Riylude-North,8576.0,1335.0,Projected 2026 from 2006 census
W0036,Baulako,LGA086,Riylude-North,70555.0,12960.0,Projected 2026 from 2006 census
W0050,Dutmidu,LGA086,Riylude-North,17715.0,2644.0,Gridded population estimate 2024
W0053,Uzobele,LGA086,Riylude-North,10511.0,1676.0,Gridded population estimate 2024
W0062,Ibarija,LGA086,Riylude-North,32661.0,5130.0,Projected 2026 from 2006 census
W0012,Hanmade,LGA051,Irolufa,26381.0,4620.0,Gridded population estimate 2024
W0015,Tamyowa,LGA051,Irolufa,23194.0,4157.0,Projected 2026 from 2006 census
W0016,Oluwasa,LGA051,Irolufa,41061.0,6504.0,Gridded population estimate 2024
W0018,Wurjimi,LGA051,Irolufa,19041.0,3508.0,Projected 2026 from 2006 census
W0022,Gwobedu,LGA051,Irolufa,27132.0,4123.0,Gridded population estimate 2024
W0028,Kuknuno,LGA051,Irolufa,19120.0,3286.0,Gridded population estimate 2024
W0032,Nasnuri,LGA051,Irolufa,39662.0,6367.0,Gridded population estimate 2024
W0002,Wurshaba,LGA087,Shajima,78192.0,14179.0,Projected 2026 from 2006 census
W0019,Aderita,LGA087,Shajima,73368.0,12037.0,Projected 2026 from 2006 census
W0020,Joswaja,LGA087,Shajima,10614.0,1831.0,Gridded population estimate 2024
W0023,Sokdema,LGA087,Shajima,17448.0,3131.0,Projected 2026 from 2006 census
W0024,Kadrani,LGA087,Shajima,17342.0,3202.0,Gridded population estimate 2024
W0042,Supnami,LGA047,Ibabani,23375.0,4252.0,Projected 2026 from 2006 census
W0054,Lokngoli,LGA047,Ibabani,9219.0,1440.0,Projected 2026 from 2006 census
W0064,Hantside,LGA047,Ibabani,10724.0,1649.0,Projected 2026 from 2006 census
W0067,Zambeba,LGA047,Ibabani,20011.0,2987.0,Gridded population estimate 2024
W0071,Fundeyi,LGA047,Ibabani,21672.0,3914.0,Projected 2026 from 2006 census
W0001,Ibasashi,LGA034,Ekejisa-North,15636.0,2291.0,Projected 2026 from 2006 census
W0003,Josyole,LGA034,Ekejisa-North,21092.0,3247.0,Gridded population estimate 2024
W0004,Lokdushi,LGA034,Ekejisa-North,4841.0,863.0,Projected 2026 from 2006 census
W0010,Sokjitu,LGA034,Ekejisa-North,15308.0,2374.0,Projected 2026 from 2006 census
W0011,Lokngodu,LGA034,Ekejisa-North,36966.0,6524.0,Gridded population estimate 2024
W0014,Maljiba,LGA034,Ekejisa-North,29801.0,4884.0,Projected 2026 from 2006 census
W0151,Ekerini,LGA109,Yelkefa,30526.0,4939.0,Projected 2026 from 2006 census
W0169,Adelawa,LGA109,Yelkefa,13033.0,1973.0,Projected 2026 from 2006 census
W0177,Hanlana,LGA109,Yelkefa,45484.0,7265.0,Gridded population estimate 2024
W0180,Irorawa,LGA109,Yelkefa,39550.0,6156.0,Projected 2026 from 2006 census
W0181,Baumashi,LGA109,Yelkefa,27793.0,5029.0,Projected 2026 from 2006 census
W0193,Gwosani,LGA109,Yelkefa,21803.0,3614.0,Projected 2026 from 2006 census
W0196,Naslama,LGA109,Yelkefa,12607.0,2091.0,Projected 2026 from 2006 census
W0198,Banluma,LGA109,Yelkefa,24412.0,3832.0,Projected 2026 from 2006 census
W0069,Katzale,LGA063,Lokbaru,18519.0,3389.0,Projected 2026 from 2006 census
W0112,Ekebako,LGA063,Lokbaru,29711.0,4602.0,Projected 2026 from 2006 census
W0113,Supzaja,LGA063,Lokbaru,64114.0,10094.0,Projected 2026 from 2006 census
W0126,Banmashi,LGA063,Lokbaru,14494.0,2109.0,Projected 2026 from 2006 census
W0117,Eketsino,LGA010,Agbnumi,13476.0,2477.0,Projected 2026 from 2006 census
W0143,Okenami,LGA010,Agbnumi,33167.0,4947.0,Gridded population estimate 2024
W0150,Wurshama,LGA010,Agbnumi,32530.0,4857.0,Projected 2026 from 2006 census
W0066,Zamyoru,LGA005,Agbjide,38033.0,6227.0,Gridded population estimate 2024
W0078,Kadjisa,LGA005,Agbjide,4483.0,819.0,Projected 2026 from 2006 census
W0084,Wurdesa,LGA005,Agbjide,47436.0,8228.0,Projected 2026 from 2006 census
W0088,Kadjina,LGA005,Agbjide,37994.0,5844.0,Gridded population estimate 2024
W0094,Jostsili,LGA092,Tambemi,18434.0,2686.0,Gridded population estimate 2024
W0122,Yobtiyi,LGA092,Tambemi,14794.0,2319.0,Projected 2026 from 2006 census
W0127,Gwotidu,LGA092,Tambemi,6917.0,1250.0,Gridded population estimate 2024
W0131,Agbtifa,LGA092,Tambemi,12792.0,2262.0,Gridded population estimate 2024
W0137,Funtsiwa,LGA092,Tambemi,12133.0,2240.0,Projected 2026 from 2006 census
W0083,Adetidu,LGA041,Gwolama,46928.0,8295.0,Projected 2026 from 2006 census
W0096,Malsana,LGA041,Gwolama,,,Gridded population estimate 2024
W0110,Ekeluwa,LGA041,Gwolama,48374.0,8707.0,Projected 2026 from 2006 census
W0111,Lokngowa,LGA041,Gwolama,41058.0,6408.0,Projected 2026 from 2006 census
W0138,Banrija,LGA107,Wurmashi,26062.0,4715.0,Gridded population estimate 2024
W0139,Katshale,LGA107,Wurmashi,,,Projected 2026 from 2006 census
W0154,Hanluta,LGA107,Wurmashi,26302.0,3842.0,Projected 2026 from 2006 census
W0161,Birwari,LGA107,Wurmashi,11243.0,1678.0,Projected 2026 from 2006 census
W0171,Olubewo,LGA107,Wurmashi,14745.0,2499.0,Gridded population estimate 2024
W0176,Katwama,LGA107,Wurmashi,10539.0,1828.0,Gridded population estimate 2024
W0052,Aderimi,LGA121,Zamtsiru,38344.0,6850.0,Projected 2026 from 2006 census
W0061,Agbsatu,LGA121,Zamtsiru,10883.0,1861.0,Gridded population estimate 2024
W0072,Riysano,LGA121,Zamtsiru,46190.0,8511.0,Projected 2026 from 2006 census
W0098,Lokderi,LGA120,Zamnuni-North,32820.0,5693.0,Projected 2026 from 2006 census
W0115,Yobzasa,LGA120,Zamnuni-North,27991.0,4785.0,Projected 2026 from 2006 census
W0124,Riynushi,LGA120,Zamnuni-North,30619.0,4688.0,Gridded population estimate 2024
W0013,Baujina,LGA027,Daizade,43228.0,6799.0,Projected 2026 from 2006 census
W0035,Baujimi,LGA027,Daizade,50218.0,8617.0,Gridded population estimate 2024
W0044,Supmano,LGA027,Daizade,36589.0,6205.0,Projected 2026 from 2006 census
W0045,Dainali,LGA027,Daizade,24443.0,4143.0,Projected 2026 from 2006 census
W0048,Kadbemi,LGA027,Daizade,32555.0,4893.0,Projected 2026 from 2006 census
W0056,Okedeni,LGA102,Umumitu,59574.0,8982.0,Gridded population estimate 2024
W0057,Bantsiri,LGA102,Umumitu,24269.0,3710.0,Projected 2026 from 2006 census
W0058,Tivsawo,LGA102,Umumitu,22734.0,3595.0,Projected 2026 from 2006 census
W0070,Zamkono,LGA102,Umumitu,18303.0,2901.0,Projected 2026 from 2006 census
W0085,Banrana,LGA102,Umumitu,9338.0,1516.0,Projected 2026 from 2006 census
W0097,Kukjimi,LGA102,Umumitu,19599.0,3474.0,Projected 2026 from 2006 census
W0080,Ibanana,LGA004,Adenaja,13629.0,2377.0,Projected 2026 from 2006 census
W0087,Ibabewo,LGA004,Adenaja,18269.0,3321.0,Projected 2026 from 2006 census
W0095,Tamdumi,LGA004,Adenaja,21185.0,3572.0,Projected 2026 from 2006 census
W0107,Ibabeno,LGA004,Adenaja,61801.0,10010.0,Projected 2026 from 2006 census
W0116,Tamdule,LGA004,Adenaja,16627.0,2874.0,Projected 2026 from 2006 census
W0123,Kuktsino,LGA004,Adenaja,13386.0,2276.0,Projected 2026 from 2006 census
W0130,Okenawa,LGA004,Adenaja,13430.0,2201.0,Projected 2026 from 2006 census
W0017,Kadyodu,LGA015,Banluta,29162.0,4895.0,Projected 2026 from 2006 census
