interviewer_id,team,fieldwork_date,clusters_worked,households_attempted,households_completed,mean_interview_duration_min,supervisor_spot_check,gps_verified
I01,TM1,2026-05-11,1,20,15,21.6,Yes,No
I01,TM1,2026-05-17,1,20,19,22.5,No,No
I01,TM1,2026-05-20,1,20,16,20.4,Yes,Yes
I01,TM1,2026-05-23,1,20,18,20.9,No,No
I02,TM1,2026-05-11,1,20,15,19.0,No,No
I02,TM1,2026-05-14,1,20,16,21.9,No,Yes
I02,TM1,2026-05-17,1,20,18,19.7,No,Yes
I02,TM1,2026-05-20,1,20,18,19.2,Yes,No
I02,TM1,2026-05-23,1,20,17,19.8,No,No
I03,TM1,2026-05-11,1,20,17,18.5,No,No
I03,TM1,2026-05-17,1,20,18,22.1,No,Yes
I03,TM1,2026-05-20,1,20,19,21.2,No,Yes
I03,TM1,2026-05-23,1,20,16,19.4,No,Yes
I04,TM2,2026-05-11,1,20,15,21.6,Yes,Yes
I04,TM2,2026-05-14,1,20,15,16.1,No,No
I04,TM2,2026-05-17,1,20,14,20.9,No,No
I04,TM2,2026-05-20,1,20,17,19.3,No,Yes
I04,TM2,2026-05-23,1,20,15,22.1,No,Yes
I05,TM2,2026-05-11,1,20,19,21.1,No,Yes
I05,TM2,2026-05-14,1,20,18,20.8,No,Yes
I05,TM2,2026-05-17,1,20,17,19.3,No,Yes
I05,TM2,2026-05-20,1,20,17,20.6,Yes,Yes
I05,TM2,2026-05-23,1,20,10,23.5,Yes,Yes
I06,TM2,2026-05-11,1,20,18,16.9,Yes,Yes
I06,TM2,2026-05-14,1,20,16,18.3,Yes,Yes
I06,TM2,2026-05-17,1,20,17,22.1,No,Yes
I06,TM2,2026-05-20,1,20,19,19.6,No,Yes
I06,TM2,2026-05-23,1,20,15,20.3,No,Yes
I07,TM3,2026-05-12,1,20,19,3.9,No,No
I07,TM3,2026-05-13,1,20,20,3.5,No,Yes
I07,TM3,2026-05-14,2,40,38,3.6,No,Yes
I07,TM3,2026-05-15,1,20,20,3.8,No,Yes
I07,TM3,2026-05-18,1,20,20,3.7,No,Yes
I07,TM3,2026-05-21,1,20,20,4.0,Yes,Yes
I07,TM3,2026-05-24,1,20,20,3.9,No,Yes
I07,TM3,2026-05-25,1,20,20,3.6,No,Yes
I08,TM3,2026-05-12,1,20,16,20.1,Yes,Yes
I08,TM3,2026-05-15,1,20,16,21.1,No,No
I08,TM3,2026-05-18,1,20,13,21.6,No,Yes
I08,TM3,2026-05-21,1,20,15,19.5,No,No
I08,TM3,2026-05-24,1,20,18,22.1,No,Yes
I09,TM3,2026-05-12,1,20,17,19.9,Yes,No
I09,TM3,2026-05-15,1,20,16,21.4,No,Yes
I09,TM3,2026-05-18,1,20,16,20.9,No,Yes
I09,TM3,2026-05-21,1,20,17,20.6,No,Yes
I09,TM3,2026-05-24,1,20,17,21.5,No,Yes
I10,TM4,2026-05-12,1,20,16,22.2,Yes,Yes
I10,TM4,2026-05-15,1,20,18,21.0,No,No
I10,TM4,2026-05-18,1,20,19,21.6,No,Yes
I10,TM4,2026-05-21,1,20,15,20.2,No,Yes
I10,TM4,2026-05-24,1,20,12,22.9,No,No
I11,TM4,2026-05-12,1,20,16,18.6,No,Yes
I11,TM4,2026-05-15,1,20,19,20.7,No,Yes
I11,TM4,2026-05-18,1,20,16,19.5,Yes,Yes
I11,TM4,2026-05-21,1,20,13,18.6,No,Yes
I11,TM4,2026-05-24,1,20,15,20.0,No,Yes
I12,TM4,2026-04-29,5,18,14,22.1,No,No
I12,TM4,2026-05-12,1,16,12,20.9,Yes,Yes
I12,TM4,2026-05-15,1,16,13,22.8,No,No
I12,TM4,2026-05-18,1,16,14,23.1,No,Yes
I12,TM4,2026-05-21,1,17,9,20.8,No,No
I12,TM4,2026-05-24,1,17,15,21.2,No,Yes
I13,TM5,2026-05-13,1,20,16,18.9,No,Yes
I13,TM5,2026-05-16,1,20,17,20.5,Yes,No
I13,TM5,2026-05-19,1,20,16,19.9,No,Yes
I13,TM5,2026-05-22,1,20,17,19.9,No,Yes
I13,TM5,2026-05-25,1,20,11,19.1,No,Yes
I14,TM5,2026-05-16,1,20,18,20.4,No,Yes
I14,TM5,2026-05-19,1,20,17,20.2,No,Yes
I14,TM5,2026-05-22,1,20,12,22.2,No,Yes
I14,TM5,2026-05-25,1,20,17,22.4,No,Yes
I15,TM5,2026-05-13,1,20,17,23.2,No,Yes
I15,TM5,2026-05-16,1,20,20,18.8,No,Yes
I15,TM5,2026-05-19,1,20,19,19.6,No,No
I15,TM5,2026-05-22,1,20,14,21.4,No,Yes
I15,TM5,2026-05-25,1,20,13,19.6,No,Yes
I16,TM6,2026-05-13,1,20,18,22.5,No,Yes
I16,TM6,2026-05-16,1,40,34,21.8,No,Yes
I16,TM6,2026-05-19,1,20,17,18.8,No,No
I16,TM6,2026-05-22,1,20,16,22.5,No,No
I16,TM6,2026-05-25,1,20,15,19.1,No,Yes
I17,TM6,2026-05-13,1,20,17,19.8,No,Yes
I17,TM6,2026-05-16,1,20,16,21.7,No,No
I17,TM6,2026-05-19,1,20,17,19.3,Yes,Yes
I17,TM6,2026-05-22,1,20,16,19.8,No,Yes
I17,TM6,2026-05-25,1,20,14,19.9,No,Yes
I18,TM6,2026-05-13,1,20,18,21.6,Yes,Yes
I18,TM6,2026-05-16,1,20,17,20.5,No,Yes
I18,TM6,2026-05-19,1,20,19,21.0,No,Yes
I18,TM6,2026-05-22,1,20,18,21.5,No,Yes
