household_id,cluster_id,stratum_code,interviewer_id,interview_date,interview_duration_min,result_of_visit,eligible_children_9_59_months,wealth_quintile,settlement_type,stage2_households_listed,stage2_households_selected
H00485,C025,ST01,I07,2026-05-15,5,Completed,2.0,1.0,Rural,95,20
H00122,C007,ST01,I07,2026-05-12,5,Completed,2.0,2.0,Rural,152,20
H01312,C066,ST03,I12,2026-05-21,12,Completed,1.0,2.0,Urban,211,20
H01778,C089,ST03,I17,2026-05-25,18,Completed,1.0,1.0,Urban,146,20
H00901,C046,ST02,I10,2026-05-18,5,Completed,1.0,1.0,Rural,129,20
H00687,C035,ST02,I17,2026-05-16,29,No eligible respondent after 3 visits,,,Urban,80,20
H00763,C039,ST02,I03,2026-05-17,24,Completed,0.0,5.0,Rural,142,20
H00883,C045,ST02,I09,2026-05-18,26,Completed,0.0,5.0,Rural,336,20
H01223,C062,ST03,I08,2026-05-21,23,Vacant dwelling,,,Urban,96,20
H00764,C039,ST02,I03,2026-05-17,12,Completed,2.0,4.0,Rural,142,20
H00095,C005,ST01,I05,2026-05-11,18,Completed,1.0,1.0,Rural,178,20
H00416,C021,ST01,I07,2026-05-14,2,Completed,2.0,3.0,Rural,58,20
H01344,C068,ST03,I14,2026-05-22,26,Completed,3.0,4.0,Urban,1038,20
H01051,C053,ST02,I17,2026-05-19,18,Completed,0.0,4.0,Rural,64,20
H00125,C007,ST01,I07,2026-05-12,3,Completed,0.0,1.0,Rural,152,20
H01028,C052,ST02,I16,2026-05-19,13,Completed,2.0,1.0,Urban,623,20
H00403,C021,ST01,I07,2026-05-14,4,Completed,2.0,4.0,Rural,58,20
H01776,C089,ST03,I17,2026-05-25,21,Completed,0.0,4.0,Urban,146,20
H01203,C061,ST03,I07,2026-05-21,4,Completed,1.0,1.0,Urban,432,20
H01371,C069,ST03,I15,2026-05-22,15,Refused,,,Rural,386,20
H00833,C042,ST02,I06,2026-05-17,20,Refused,,,Rural,123,20
H00271,C014,ST01,I07,2026-05-13,4,Completed,1.0,1.0,Urban,119,20
H01795,C090,ST03,I07,2026-05-25,2,Completed,2.0,3.0,Urban,220,20
H00520,C026,ST01,I08,2026-05-15,15,Completed,1.0,3.0,Rural,147,20
H01090,C055,ST02,I01,2026-05-20,19,Completed,2.0,3.0,Rural,262,20
H00588,C030,ST01,I12,2026-05-15,20,Completed,2.0,1.0,Rural,133,20
H01426,C072,ST03,I18,2026-05-22,30,Completed,0.0,5.0,Rural,98,20
H01734,C087,ST03,I15,2026-05-25,36,Completed,1.0,2.0,Urban,229,20
H01188,C060,ST02,I06,2026-05-20,16,Completed,2.0,4.0,Urban,183,20
H00717,C036,ST02,I18,2026-05-16,22,Completed,2.0,4.0,Urban,262,20
H01660,C083,ST03,I11,2026-05-24,15,Completed,1.0,1.0,Urban,138,20
H00526,C027,ST01,I09,2026-05-15,19,Vacant dwelling,,,Urban,262,20
H00495,C025,ST01,I07,2026-05-15,4,Completed,1.0,5.0,Rural,95,20
H00530,C027,ST01,I09,2026-05-15,21,Completed,1.0,2.0,Urban,262,20
H00917,C046,ST02,I10,2026-05-18,24,Completed,1.0,2.0,Rural,129,20
H01008,C051,ST02,I15,2026-05-19,16,Completed,3.0,5.0,Rural,272,20
H01020,C051,ST02,I15,2026-05-19,19,Completed,2.0,2.0,Rural,272,20
H01366,C069,ST03,I15,2026-05-22,24,Completed,2.0,1.0,Rural,386,20
H01229,C062,ST03,I08,2026-05-21,24,Completed,3.0,4.0,Urban,96,20
H01750,C088,ST03,I16,2026-05-25,17,Completed,2.0,3.0,Rural,55,20
H00456,C023,ST01,I05,2026-05-14,21,Refused,,,Rural,151,20
H01346,C068,ST03,I14,2026-05-22,27,Refused,,,Urban,1038,20
H00784,C040,ST02,I04,2026-05-17,26,Refused,,,Urban,181,20
H01138,C057,ST02,I03,2026-05-20,23,Completed,3.0,5.0,Rural,96,20
H01531,C077,ST03,I05,2026-05-23,34,No eligible respondent after 3 visits,,,Urban,334,20
H00610,C031,ST02,I13,2026-05-16,14,Completed,2.0,3.0,Rural,160,20
H01470,C074,ST03,I02,2026-05-23,23,Completed,0.0,4.0,Rural,86,20
H00354,C018,ST01,I18,2026-05-13,25,Completed,2.0,4.0,Rural,159,20
H00751,C038,ST02,I02,2026-05-17,21,Completed,1.0,3.0,Rural,207,20
H01087,C055,ST02,I01,2026-05-20,12,Refused,,,Rural,262,20
H01736,C087,ST03,I15,2026-05-25,25,Completed,1.0,4.0,Urban,229,20
H01785,C090,ST03,I07,2026-05-25,3,Completed,2.0,5.0,Urban,220,20
H00999,C050,ST02,I14,2026-05-19,29,Completed,1.0,2.0,Rural,135,20
H00030,C002,ST01,I02,2026-05-11,17,Completed,3.0,3.0,Rural,287,20
H01069,C054,ST02,I18,2026-05-19,28,Completed,2.0,5.0,Rural,88,20
H00124,C007,ST01,I07,2026-05-12,6,Refused,,,Rural,152,20
H00379,C019,ST01,I07,2026-05-14,2,Completed,3.0,3.0,Rural,78,20
H01592,C080,ST03,I08,2026-05-24,12,Completed,0.0,5.0,Rural,139,20
H00496,C025,ST01,I07,2026-05-15,5,Completed,2.0,1.0,Rural,95,20
H01616,C081,ST03,I09,2026-05-24,26,Completed,1.0,4.0,Urban,260,20
H00361,C019,ST01,I07,2026-05-14,4,Completed,1.0,3.0,Rural,78,20
H01496,C075,ST03,I03,2026-05-23,21,Completed,3.0,1.0,Rural,153,20
H00911,C046,ST02,I10,2026-05-18,17,Completed,0.0,2.0,Rural,129,20
H01769,C089,ST03,I17,2026-05-25,25,Completed,3.0,2.0,Urban,146,20
H00205,C011,ST01,I11,2026-05-12,16,Completed,3.0,1.0,Urban,127,20
H00493,C025,ST01,I07,2026-05-15,4,Completed,4.0,4.0,Rural,95,20
H01779,C089,ST03,I17,2026-05-25,23,Completed,3.0,4.0,Urban,146,20
H00872,C044,ST02,I08,2026-05-18,25,Completed,2.0,1.0,Urban,131,20
H00107,C006,ST01,I06,2026-05-11,20,Completed,0.0,3.0,Rural,177,20
H00418,C021,ST01,I07,2026-05-14,3,Completed,1.0,2.0,Rural,58,20
