ea_code,stratum_code,stratum_name,lga_name,ward_name,settlement_type,households_census_2023,cluster_id,selected,stage1_selection_probability,stratum_total_households,clusters_selected_in_stratum,households_listed_fieldwork,field_status
EA00001,ST01,Bansara State,Yobrima,Enwwadu,Rural,33,,0,,,,,
EA00002,ST01,Bansara State,Binmata,Adanuyi,Rural,166,,0,,,,,
EA00003,ST01,Bansara State,Durdusa,Gwatisa,Rural,83,,0,,,,,
EA00004,ST01,Bansara State,Dunmina,Katkoma,Rural,69,,0,,,,,
EA00005,ST01,Bansara State,Jatzawo,Gomnatu,Rural,253,C002,1,0.18289157,41500.0,30.0,287.0,Visited as selected
EA00006,ST01,Bansara State,Kusnuma,Gwasadu,Urban,140,,0,,,,,
EA00007,ST01,Bansara State,Fumzasa,Yenduba,Urban,340,C003,1,0.24578313,41500.0,30.0,226.0,Visited as selected
EA00008,ST01,Bansara State,Supkoshi,Enwjiwa,Rural,43,,0,,,,,
EA00009,ST01,Bansara State,Marbeta,Okotiru,Urban,211,C013,1,0.15253012,41500.0,30.0,196.0,Visited as selected
EA00010,ST01,Bansara State,Tivkori,Ngeyoru,Rural,72,,0,,,,,
EA00011,ST01,Bansara State,Ekizami,Ngengowo,Urban,223,,0,,,,,
EA00012,ST01,Bansara State,Gwatina,Rivtsisa,Rural,146,,0,,,,,
EA00013,ST01,Bansara State,Katriwa,Kusyoshi,Rural,49,,0,,,,,
EA00014,ST01,Bansara State,Olotsimi,Baulusa,Rural,179,,0,,,,,
EA00015,ST01,Bansara State,Yobrima,Zartile,Urban,158,,0,,,,,
EA00016,ST01,Bansara State,Binmata,Enwsata,Rural,137,,0,,,,,
EA00017,ST01,Bansara State,Durdusa,Soknami,Rural,50,,0,,,,,
EA00018,ST01,Bansara State,Dunmina,Barride,Rural,75,,0,,,,,
EA00019,ST01,Bansara State,Jatzawo,Aguluwa,Urban,229,,0,,,,,
EA00020,ST01,Bansara State,Kusnuma,Tivdushi,Rural,118,,0,,,,,
EA00021,ST01,Bansara State,Fumzasa,Umowale,Rural,144,,0,,,,,
EA00022,ST01,Bansara State,Supkoshi,Durmiba,Rural,119,C016,1,0.0860241,41500.0,30.0,193.0,Visited as selected
EA00023,ST01,Bansara State,Marbeta,Uzushani,Rural,143,,0,,,,,
