facility_id,facility_type,longitude_clean,latitude_clean,geom,med_officers,nurses_midwives,chews,lab_scientists,pharm_techs,adequacy_status
HF00260,Primary Health Centre,7.908017,7.950908,\x01\x01\x00\x00\x00\x1F\xD9\x5C5\xCF\xA1\x1F@\xE2\x04\xA6\xD3\xBA\xCD\x1F@,0.0,4.0,4.0,2.0,0.0,adequate
HF00805,Primary Health Centre,10.148729,8.435272,\x01\x01\x00\x00\x00\xFE\xEE\x1D5&L$@\xA1\xBA\xB9\xF8\xDB\xDE @,0.0,3.0,1.0,2.0,1.0,inadequate
HF00465,Primary Health Centre,7.805461,9.003807,\x01\x01\x00\x00\x00W\xD0\xB4\xC4\xCA8\x1F@\xE3\xFD\xB8\xFD\xF2\x01\x22@,,,,,,no_personnel_record
HF01015,Primary Health Centre,10.373417,11.38859,\x01\x01\x00\x00\x00v\x8AU\x830\xBF$@\xF4\x1A\xBBD\xF5\xC6&@,0.0,7.0,6.0,2.0,3.0,adequate
HF01201,Comprehensive Health Centre,9.177497,9.482001,\x01\x01\x00\x00\x00\xB7F\x04\xE3\xE0Z\x22@RG\xC7\xD5\xC8\xF6\x22@,6.0,3.0,11.0,4.0,3.0,inadequate
HF00273,Primary Health Centre,7.565845,7.982768,\x01\x01\x00\x00\x00\xA5k&\xDFlC\x1E@\xA88\x0E\xBCZ\xEE\x1F@,0.0,3.0,3.0,2.0,0.0,adequate
HF00627,Primary Health Centre,7.045256,11.00942,\x01\x01\x00\x00\x00\x86\xCA\xBF\x96W.\x1C@M\xDB\xBF\xB2\xD2\x04&@,2.0,5.0,3.0,1.0,0.0,adequate
HF00670,Health Post,8.619,11.144178,\x01\x01\x00\x00\x00\xB0rh\x91\xED<!@\xFA\x9A\xE5\xB2\xD1I&@,1.0,2.0,2.0,1.0,1.0,adequate
HF01243,Comprehensive Health Centre,9.890179,9.661979,"\x01\x01\x00\x00\x00\x06,\xB9\x8A\xC5\xC7#@\x0FGW\xE9\xEER#@",0.0,7.0,2.0,0.0,3.0,inadequate
HF01067,Primary Health Centre,9.875497,10.846114,"\x01\x01\x00\x00\x00\x02~\x8D$A\xC0#@ `\xAD\xDA5\xB1%@",3.0,8.0,10.0,0.0,1.0,adequate
HF00948,Primary Health Centre,9.642666666666667,10.93886111111111,"\x01\x01\x00\x00\x00\x16 \xF7\x9A\x0BI#@\xB9jOg\xB2\xE0%@",1.0,1.0,1.0,0.0,0.0,inadequate
HF00985,Primary Health Centre,10.04905,11.212248,\x01\x01\x00\x00\x00\xD3\xBC\xE3\x14\x1D\x19$@gH\x15\xC5\xABl&@,2.0,4.0,12.0,2.0,1.0,adequate
HF00573,Primary Health Centre,7.630692,11.172943,\x01\x01\x00\x00\x004e\xA7\x1F\xD4\x85\x1E@\xEE$\x22\xFC\x8BX&@,1.0,4.0,3.0,0.0,0.0,adequate
HF00512,Primary Health Centre,8.1,10.52,\x01\x01\x00\x00\x00333333 @\x0A\xD7\xA3p=\x0A%@,0.0,0.0,6.0,1.0,1.0,inadequate
HF00003,Cottage Hospital,6.207094,9.310755,"\x01\x01\x00\x00\x00\x92\xCA\x14s\x10\xD4\x18@\x10#\x84G\x1B\x9F\x22@",4.0,13.0,14.0,5.0,2.0,adequate
HF00770,Health Post,8.442248,7.967341,\x01\x01\x00\x00\x00\x5CqqTn\xE2 @\xDBQ\x9C\xA3\x8E\xDE\x1F@,0.0,1.0,2.0,0.0,0.0,adequate
HF00622,Health Post,6.945808,10.924193,"\x01\x01\x00\x00\x00A.q\xE4\x81\xC8\x1B@_b,\xD3/\xD9%@",0.0,2.0,2.0,0.0,0.0,adequate
HF00892,Health Post,8.376408,9.003115,\x01\x01\x00\x00\x00\xD1\xE7\xA3\x8C\xB8\xC0 @\x0BA\x0EJ\x98\x01\x22@,1.0,0.0,2.0,0.0,0.0,adequate
HF00611,Health Post,7.713948,10.9272,\x01\x01\x00\x00\x00\xAE-</\x15\xDB\x1E@\xD0\xB3Y\xF5\xB9\xDA%@,0.0,1.0,0.0,0.0,0.0,inadequate
HF00268,Health Post,8.235656,8.049994,\x01\x01\x00\x00\x00]6:\xE7\xA7x @\x11\xFEE\xD0\x98\x19 @,0.0,2.0,1.0,0.0,0.0,inadequate
HF00667,Primary Health Centre,8.611593,10.999355,\x01\x01\x00\x00\x00\xD0\xEC\xBA\xB7\x229!@+0du\xAB\xFF%@,0.0,5.0,3.0,0.0,1.0,adequate
HF00557,Primary Health Centre,7.585153,10.02703,\x01\x01\x00\x00\x00\x0A\xA0\x18Y2W\x1E@\x92\x05L\xE0\xD6\x0D$@,0.0,1.0,3.0,0.0,1.0,inadequate
HF00890,Cottage Hospital,8.143249,8.751841,\x01\x01\x00\x00\x00\x92^\xD4\xEEWI @y\x95\xB5M\xF1\x80!@,1.0,5.0,9.0,2.0,6.0,inadequate
HF00762,Health Post,8.397973,7.799525,\x01\x01\x00\x00\x00\xCCa\xF7\x1D\xC3\xCB @mV}\xAE\xB62\x1F@,1.0,2.0,1.0,0.0,0.0,inadequate
HF01107,Health Post,8.92082,11.504555,\x01\x01\x00\x00\x00e\x01\x13\xB8u\xD7!@\x0A\x11p\x08U\x02\x27@,1.0,1.0,2.0,1.0,0.0,adequate
HF00856,Primary Health Centre,8.980323,8.545614,\x01\x01\x00\x00\x00\x81\x08q\xE5\xEC\xF5!@\xC0z\xDC\xB7Z\x17!@,3.0,3.0,4.0,1.0,2.0,adequate
HF00558,Primary Health Centre,7.570048,9.926803,"\x01\x01\x00\x00\x00\xD0\x99\xB4\xA9\xBAG\x1E@\x5C\xAB=\xEC\x85\xDA#@",,,,,,no_personnel_record
HF00814,Primary Health Centre,9.13,8.13,\x01\x01\x00\x00\x00\xC3\xF5(\x5C\x8FB\x22@\xC3\xF5(\x5C\x8FB @,2.0,1.0,4.0,2.0,0.0,inadequate
HF00438,Health Post,7.398021,8.406092,\x01\x01\x00\x00\x00 |(\xD1\x92\x97\x1D@\x9FUfJ\xEB\xCF @,0.0,1.0,1.0,0.0,0.0,inadequate
HF00054,Health Post,6.110032,9.753453,"\x01\x01\x00\x00\x00\xCC\x0D\x86:\xACp\x18@l%t\x97\xC4\x81#@",1.0,2.0,1.0,0.0,0.0,inadequate
HF00507,Primary Health Centre,7.870121,10.361789,\x01\x01\x00\x00\x00S@\xDA\xFF\x00{\x1F@\xE7\x1Afh<\xB9$@,0.0,1.0,5.0,1.0,1.0,inadequate
HF01185,Cottage Hospital,9.836989,8.910924,"\x01\x01\x00\x00\x0079|\xD2\x89\xAC#@sHj\xA1d\xD2!@",0.0,1.0,8.0,2.0,2.0,inadequate
HF01076,Primary Health Centre,9.287224,11.580015,\x01\x01\x00\x00\x00\xAB@-\x06\x0F\x93\x22@\xFE`\xE0\xB9\xF7(\x27@,,,,,,no_personnel_record
HF00980,Health Post,,,,1.0,2.0,0.0,0.0,0.0,inadequate
HF00135,Primary Health Centre,6.727273,9.542573,"\x01\x01\x00\x00\x00$\x0E\xD9@\xBA\xE8\x1A@\x9Eb\xD5 \xCC\x15#@",,,,,,no_personnel_record
HF01196,Primary Health Centre,10.180412,9.060246,\x01\x01\x00\x00\x00\xA6\x9C/\xF6^\x5C$@\xFCmO\x90\xD8\x1E\x22@,1.0,3.0,4.0,0.0,1.0,adequate
HF00521,Primary Health Centre,8.360091,9.987065,"\x01\x01\x00\x00\x00\xFA*\xF9\xD8]\xB8 @o\x0Dl\x95`\xF9#@",1.0,6.0,0.0,1.0,1.0,inadequate
HF00109,Primary Health Centre,6.640567,9.831372,"\x01\x01\x00\x00\x00[\x96\xAF\xCB\xF0\x8F\x1A@\xC7\x9E=\x97\xA9\xA9#@",1.0,2.0,4.0,1.0,1.0,adequate
HF00310,Health Post,,,,1.0,2.0,1.0,0.0,0.0,inadequate
HF00846,Primary Health Centre,9.272512,8.539446,\x01\x01\x00\x00\x00\xFD\x88_\xB1\x86\x8B\x22@\x81\xEA\x1FD2\x14!@,1.0,4.0,1.0,0.0,1.0,inadequate
HF00517,Primary Health Centre,8.206622,9.791996,"\x01\x01\x00\x00\x00\xAAD\xD9[\xCAi @) \xED\x7F\x80\x95#@",0.0,3.0,7.0,1.0,0.0,adequate
HF00322,Primary Health Centre,7.959599,7.670939,\x01\x01\x00\x00\x00\xE3\x18\xC9\x1E\xA1\xD6\x1F@\x9Bq\x1A\xA2\x0A\xAF\x1E@,0.0,2.0,5.0,2.0,0.0,adequate
HF00123,Health Post,6.821893,9.21825,\x01\x01\x00\x00\x00\xCD>\x8FQ\x9EI\x1B@9\xB4\xC8v\xBEo\x22@,0.0,0.0,1.0,0.0,0.0,inadequate
