ward_code,ward_name,total_population,population_under5,travel_time_to_adequate_min,nearest_adequate_facility_id,travel_time_to_any_facility_min,nearest_any_facility_id,gap_type,severity_rank
W0228,Yeldule,30843,4790,159.4,HF00692,139.3,HF00580,facility_absent,1
W0169,Adelawa,13033,1973,153.0,HF00132,61.3,HF00093,facility_absent,2
W0009,Gwobele,22295,4039,139.4,HF00401,109.8,HF00367,facility_absent,3
W0553,Nasmitu,7788,1389,136.0,HF00850,92.0,HF01187,facility_absent,4
W0180,Irorawa,39550,6156,132.9,HF00139,68.6,HF00090,facility_absent,5
W0464,Tamnuta,36744,5704,129.1,HF00795,62.3,HF00811,facility_absent,6
W0449,Sharimi,23410,4323,128.0,HF01202,119.0,HF00907,facility_absent,7
W0243,Joskoko,29574,4486,127.9,HF00292,79.1,HF00321,facility_absent,8
W0524,Wurbali,68250,11686,125.6,HF01263,116.6,HF01264,facility_absent,9
W0144,Hanlashi,38731,6298,124.3,HF00176,94.1,HF00601,facility_absent,10
W0066,Zamyoru,38033,6227,123.1,HF00079,89.5,HF00120,facility_absent,11
W0277,Okenatu,6289,924,122.2,HF00692,102.1,HF00580,facility_absent,12
W0569,Lokmiba,30658,5152,119.9,HF00850,76.0,HF01187,facility_absent,13
W0601,Riynawa,29087,5261,119.9,HF01196,77.1,HF01146,facility_absent,14
W0554,Agbzali,61670,10296,119.7,HF00850,75.7,HF01187,facility_absent,15
W0615,Aderari,19719,3028,140.5,HF01294,55.5,HF01325,facility_present_understaffed,1
W0454,Gwoyowo,56223,8971,138.8,HF00847,50.2,HF00845,facility_present_understaffed,2
W0607,Ngetsiko,23816,4166,134.5,HF01294,49.5,HF01325,facility_present_understaffed,3
W0436,Shaduni,19802,3020,130.7,HF00847,42.1,HF00845,facility_present_understaffed,4
W0550,Ngebasa,3763,584,124.1,HF01304,45.1,HF01165,facility_present_understaffed,5
W0573,Riyjiyi,29232,4838,121.7,HF01304,42.7,HF01165,facility_present_understaffed,6
W0523,Riynaja,2417,430,116.2,HF00795,49.4,HF00811,facility_present_understaffed,7
W0556,Josngoni,6005,977,113.6,HF01304,34.6,HF01165,facility_present_understaffed,8
W0112,Ekebako,29711,4602,107.5,HF00132,57.7,HF00111,facility_present_understaffed,9
W0492,Adetsiko,7474,1352,104.8,HF00795,38.0,HF00811,facility_present_understaffed,10
W0262,Banshako,21735,3996,102.3,HF00510,46.1,HF00505,facility_present_understaffed,11
W0246,Tivbedu,14461,2586,99.4,HF00302,59.4,HF00315,facility_present_understaffed,12
W0563,Shatsino,25700,4369,96.2,HF01190,51.3,HF01159,facility_present_understaffed,13
W0151,Ekerini,30526,4939,95.3,HF00139,31.0,HF00090,facility_present_understaffed,14
W0237,Soksani,37864,5643,94.6,HF00510,38.5,HF00505,facility_present_understaffed,15
