facility_id,raw_lga_name,raw_sen_district,raw_longitude,raw_latitude,lon_parse_method,lat_parse_method,coord_status,lga_match_method,lga_match_score,matched_lga_code,matched_lga_canonical,matched_sen_district,sen_district_agrees
HF00260,Agbmita,Agbzatu North,7.908017,7.950908,clean,clean,included,exact,100.0,LGA008,Agbmita  ,Agbzatu North,True
HF00805,Tamwata-South,Uzojina Central,10.148729,8.435272,clean,clean,included,exact,100.0,LGA095,Tamwata-South,Uzojina Central,True
HF00465,Umumayi,Agbzatu South,7.805461,9.003807,clean,clean,included,exact,100.0,LGA101,Umumayi,Agbzatu South,True
HF01015,Funkedu,Supwasa Central,10.373417,11.38859,clean,clean,included,exact,100.0,LGA038,Funkedu,Supwasa Central,True
HF01201,Daibewo,Agbkeko Central,9.177497,9.482001,clean,clean,included,exact,100.0,LGA023,Daibewo,Agbkeko Central,True
HF00273,Malmaba,Agbzatu North,7.565845,7.982768,clean,clean,included,exact,100.0,LGA070,Malmaba,Agbzatu North,True
HF00627,Daidefa,Tivbetu Central,7.045256,11.00942,clean,clean,included,exact,100.0,LGA024,Daidefa,Tivbetu Central,True
HF00670,Hanjiko,Tivbetu South,8.619,11.144178,clean,clean,included,exact,100.0,LGA042,Hanjiko Local Govt Area,Tivbetu South,True
HF01243,Hanjile,Agbkeko Central,9.890179,9.661979,clean,clean,included,exact,100.0,LGA043,Hanjile,Agbkeko Central,True
HF01067,Okeyoru-South,Supwasa Central,9.875497,10.846114,clean,clean,included,exact,100.0,LGA082,Okeyoru-South,Supwasa Central,True
HF00948,Adekeni,Supwasa North,"9°38'33.6""E","10°56'19.9""N",dms,dms,included,exact,100.0,LGA001,Adekeni,Supwasa North,True
HF00985,ZAMBANI,Supwasa Central,10.04905,11.212248,clean,clean,included,exact,100.0,LGA115,Zambani,Supwasa Central,True
HF00573,Dutwano,Tivbetu Central,7.630692,11.172943,clean,clean,included,exact,100.0,LGA030,Dutwano,Tivbetu Central,True
HF00512,Bauzani,Tivbetu North,8.1,10.52,clean,clean,included,exact,100.0,LGA021,Bauzani,Tivbetu North,True
HF00003,Maltsimi,Kukrima North,6.207094,9.310755,clean,clean,included,exact,100.0,LGA071,Maltsimi,Kukrima North,True
HF00770,Tamluni,Uzojina North,8.442248,7.967341,clean,clean,included,exact,100.0,LGA094,Tamluni,Uzojina North,True
HF00622,Daidefa ,Tivbetu Central,6.945808,10.924193,clean,clean,included,exact,100.0,LGA024,Daidefa,Tivbetu Central,True
HF00892,Loksayi,Uzojina South,8.376408,9.003115,clean,clean,included,exact,100.0,LGA066,Loksayi  ,Uzojina South,True
HF00611,Ironama,Tivbetu Central,7.713948,10.9272,clean,clean,included,exact,100.0,LGA053,Ironama,Tivbetu Central,True
HF00268,Agbmita,Agbzatu North,8.235656,8.049994,clean,clean,included,exact,100.0,LGA008,Agbmita  ,Agbzatu North,True
HF00667,Hanjiko,Tivbetu South,8.611593,10.999355,clean,clean,included,exact,100.0,LGA042,Hanjiko Local Govt Area,Tivbetu South,True
HF00557,Soktimi,Tivbetu North,7.585153,10.02703,clean,clean,included,exact,100.0,LGA089,Soktimi,Tivbetu North,True
HF00890,Loksayi,Uzojina South,8.143249,8.751841,clean,clean,included,exact,100.0,LGA066,Loksayi  ,Uzojina South,True
HF00762,Tamluni,Uzojina North,8.397973,7.799525,clean,clean,included,exact,100.0,LGA094,Tamluni,Uzojina North,True
HF01107,Loknaba,Supwasa South,8.92082,11.504555,clean,clean,included,exact,100.0,LGA065,Loknaba,Supwasa South,True
HF00856,Wurkota,Uzojina Central,8.980323,8.545614,clean,clean,included,exact,100.0,LGA106,Wurkota  ,Uzojina Central,True
HF00558,Soktimi,Tivbetu North,7.570048,9.926803,clean,clean,included,exact,100.0,LGA089,Soktimi,Tivbetu North,True
HF00814,Daishali-Central,Uzojina Central,9.13,8.13,clean,clean,included,exact,100.0,LGA026,Daishali-Central,Uzojina Central,True
HF00438,Agbngoru,Agbzatu South,7.398021,8.406092,clean,clean,included,exact,100.0,LGA009,Agbngoru,Agbzatu South,True
HF00054,Irolufa ,Kukrima North,6.110032,9.753453,clean,clean,included,exact,100.0,LGA051,Irolufa,Kukrima North,True
HF00507,Bauzani ,Tivbetu North,7.870121,10.361789,clean,clean,included,exact,100.0,LGA021,Bauzani,Tivbetu North,True
HF01185,Yeltili,Agbkeko North,9.836989,8.910924,clean,clean,included,exact,100.0,LGA110,Yeltili,Agbkeko North,True
HF01076,Ekedeta-East,Supwasa South,9.287224,11.580015,clean,clean,included,exact,100.0,LGA032,Ekedeta-East,Supwasa South,True
HF00980,Zambani,Supwasa Central,,,missing,missing,excluded_missing_or_unparseable,exact,100.0,LGA115,Zambani,Supwasa Central,True
HF00135,Gwolama,Kukrima Central,6.727273,9.542573,clean,clean,included,exact,100.0,LGA041,Gwolama,Kukrima Central,True
HF01196,Yeltili,Agbkeko North,10.180412,9.060246,clean,clean,included,exact,100.0,LGA110,Yeltili,Agbkeko North,True
HF00521,Agbzawa-South,Tivbetu North,8.360091,9.987065,clean,clean,included,exact,100.0,LGA013,Agbzawa-South,Tivbetu North,True
HF00109,Lokbaru ,Kukrima Central,6.640567,9.831372,clean,clean,included,exact,100.0,LGA063,Lokbaru,Kukrima Central,True
HF00310,Josduri-South,Agbzatu North,,,missing,missing,excluded_missing_or_unparseable,exact,100.0,LGA056,Josduri-South,Agbzatu North,True
HF00846,Adelaja-North,Uzojina Central,9.272512,8.539446,clean,clean,included,exact,100.0,LGA003,Adelaja-North,Uzojina Central,True
HF00517,Agbzawa-South,Tivbetu North,8.206622,9.791996,clean,clean,included,exact,100.0,LGA013,Agbzawa-South,Tivbetu North,True
HF00322,Gwodele-South,Agbzatu North,7.959599,7.670939,clean,clean,included,exact,100.0,LGA039,Gwodele-South,Agbzatu North,True
HF00123,Agbjide,Kukrima Central,6.821893,9.21825,clean,clean,included,exact,100.0,LGA005,Agbjide,Kukrima Central,True
HF01155,Jostile,Agbkeko North,9.908889,9.521433,clean,clean,included,exact,100.0,LGA059,Jostile,Agbkeko North,True
HF00454,DAISHAKO,Agbzatu South,7.583417,8.784474,clean,clean,included,exact,100.0,LGA025,Daishako,Agbzatu South,True
HF00804,Tamwata-South,Uzojina Central,10.187914,8.448977,clean,clean,included,exact,100.0,LGA095,Tamwata-South,Uzojina Central,True
HF00516,Agbzawa-South,Tivbetu North,8.216741,9.757699,clean,clean,included,exact,100.0,LGA013,Agbzawa-South,Tivbetu North,True
HF00589,Irongori,Tivbetu Central,7.947185,10.823491,clean,clean,included,exact,100.0,LGA054,Irongori,Tivbetu Central,True
HF00058,Irolufa,Kukrima North,6.197444,10.015032,clean,clean,included,exact,100.0,LGA051,Irolufa,Kukrima North,True
HF01154,Jostile,Agbkeko North,9.89696,9.515498,clean,clean,included,exact,100.0,LGA059,Jostile,Agbkeko North,True
HF00167,WURMASHI,Kukrima Central,7.411483,9.912909,clean,clean,included,exact,100.0,LGA107,Wurmashi Local Govt Area,Kukrima Central,True
HF00926,Zamberi-North ,Uzojina South,8.501021,8.659091,clean,clean,included,exact,100.0,LGA116,Zamberi-North,Uzojina South,True
HF00604,Ironama ,Tivbetu Central,7.371901,10.666623,clean,clean,included,exact,100.0,LGA053,Ironama,Tivbetu Central,True
HF00285,Malmaba,Agbzatu North,7.768586,7.92846,clean,clean,included,exact,100.0,LGA070,Malmaba,Agbzatu North,True
HF00637,Joskeru,Tivbetu South,8.683102,11.313295,clean,clean,included,exact,100.0,LGA057,Joskeru,Tivbetu South,True
HF01021,Funkedu ,Supwasa Central,10.252351,11.264894,clean,clean,included,exact,100.0,LGA038,Funkedu,Supwasa Central,True
HF01182,Maljiwo,Agbkeko North,9.643656,9.264295,clean,clean,included,exact,100.0,LGA069,Maljiwo,Agbkeko North,True
HF00325,Gwodele South,Agbzatu North,8.059011,7.773748,clean,clean,included,fuzzy,92.3076923076923,LGA039,Gwodele-South,Agbzatu North,True
HF00110,Lokbaru ,Kukrima Central,6.969075,9.906772,clean,clean,included,exact,100.0,LGA063,Lokbaru,Kukrima Central,True
HF01031,Josmiba,Supwasa Central,10.480188,10.41212,clean,clean,included,exact,100.0,LGA058,Josmiba,Supwasa Central,True
HF00132,Tambemi,Kukrima Central,7.162416,9.831472,clean,clean,included,exact,100.0,LGA092,Tambemi,Kukrima Central,True
HF00618,Tivbani,Tivbetu Central,7.536192,10.55022,clean,clean,included,exact,100.0,LGA096,Tivbani,Tivbetu Central,True
HF00816,Daishali-Central,Uzojina Central,9.012789,8.199683,clean,clean,included,exact,100.0,LGA026,Daishali-Central,Uzojina Central,True
HF00040,Riylude North,Kukrima North,6.511429,9.595088,clean,clean,included,fuzzy,92.3076923076923,LGA086,Riylude-North,Kukrima North,True
HF00760,Tamluni LGA,Uzojina North,8.416999,7.909065,clean,clean,included,exact,100.0,LGA094,Tamluni,Uzojina North,True
HF01239,Hanjile,Agbkeko Central,9.834394,9.623763,clean,clean,included,exact,100.0,LGA043,Hanjile,Agbkeko Central,True
HF00060,Irolufa,Kukrima North,6.192201,9.933669,clean,clean,included,exact,100.0,LGA051,Irolufa,Kukrima North,True
HF00377,Dutzama,Agbzatu Central,6.944508,7.725776,clean,clean,included,exact,100.0,LGA031,DUTZAMA,Agbzatu Central,True
HF00792,Nassako-Central,Uzojina North,8.85898,7.509353,clean,clean,included,exact,100.0,LGA075,Nassako-Central,Uzojina North,True
HF00954,NASRIFA,Supwasa North,"9,066455","10,724456",comma_decimal,comma_decimal,included,exact,100.0,LGA074,Nasrifa  ,Supwasa North,True
