ward_code,ward_name,total_population,population_under5,nearest_adequate_facility_id,travel_time_minutes,reachable
W0021,Ekeluno,6698,1014,HF00068,49.0,true
W0029,Katzano,12718,2321,HF00004,20.4,true
W0030,Olumadu,16521,2961,HF00074,47.7,true
W0041,Dutkoko,41424,6836,HF00008,56.7,true
W0005,Oludeli,6328,1113,HF00011,48.1,true
W0006,Maltsisa,57154,9109,HF00011,75.2,true
W0007,Enunasa,27475,4581,HF00011,77.6,true
W0008,Shaluri,7290,1106,HF00023,91.2,true
W0025,Dutrimi,21898,3311,HF00025,86.4,true
W0031,Loklude,11375,1996,HF00025,62.5,true
W0039,Funngoli,24916,4111,HF00025,30.7,true
W0040,Yelluna,30616,5479,HF00026,38.5,true
W0046,Banshali,18654,3357,HF00363,69.4,true
W0033,Baukeshi,8576,1335,HF00029,45.9,true
W0036,Baulako,70555,12960,HF00034,54.5,true
W0050,Dutmidu,17715,2644,HF00038,35.3,true
W0053,Uzobele,10511,1676,HF00034,77.4,true
W0062,Ibarija,32661,5130,HF00034,70.2,true
W0012,Hanmade,26381,4620,HF00047,91.3,true
W0015,Tamyowa,23194,4157,HF00047,57.0,true
W0016,Oluwasa,41061,6504,HF00029,98.1,true
W0018,Wurjimi,19041,3508,HF00029,41.4,true
W0022,Gwobedu,27132,4123,HF00029,51.7,true
W0028,Kuknuno,19120,3286,HF00058,28.7,true
W0032,Nasnuri,39662,6367,HF00029,74.5,true
W0002,Wurshaba,78192,14179,HF00011,53.9,true
W0019,Aderita,73368,12037,HF00004,95.6,true
W0020,Joswaja,10614,1831,HF00004,64.6,true
W0023,Sokdema,17448,3131,HF00061,44.8,true
W0024,Kadrani,17342,3202,HF00023,40.2,true
W0042,Supnami,23375,4252,HF00008,38.5,true
W0054,Lokngoli,9219,1440,HF00079,67.0,true
W0064,Hantside,10724,1649,HF00079,56.0,true
W0067,Zambeba,20011,2987,HF00079,113.9,true
W0071,Fundeyi,21672,3914,HF00079,56.6,true
W0001,Ibasashi,15636,2291,HF00068,85.0,true
W0003,Josyole,21092,3247,HF00012,36.9,true
W0004,Lokdushi,4841,863,HF00068,90.8,true
W0010,Sokjitu,15308,2374,HF00068,91.4,true
W0011,Lokngodu,36966,6524,HF00047,38.9,true
W0014,Maljiba,29801,4884,HF00068,44.8,true
W0151,Ekerini,30526,4939,HF00139,95.3,true
W0169,Adelawa,13033,1973,HF00132,153.0,true
W0177,Hanlana,45484,7265,HF00139,91.9,true
W0180,Irorawa,39550,6156,HF00139,132.9,true
W0181,Baumashi,27793,5029,HF00101,62.1,true
W0193,Gwosani,21803,3614,HF00549,64.8,true
W0196,Naslama,12607,2091,HF00559,104.7,true
W0198,Banluma,24412,3832,HF00101,98.6,true
W0069,Katzale,18519,3389,HF00038,61.7,true
W0112,Ekebako,29711,4602,HF00132,107.5,true
W0113,Supzaja,64114,10094,HF00112,42.2,true
W0126,Banmashi,14494,2109,HF00112,61.6,true
W0117,Eketsino,13476,2477,HF00139,74.4,true
W0143,Okenami,33167,4947,HF00139,79.3,true
W0150,Wurshama,32530,4857,HF00139,75.1,true
W0066,Zamyoru,38033,6227,HF00079,123.1,true
W0078,Kadjisa,4483,819,HF00079,73.1,true
W0084,Wurdesa,47436,8228,HF00122,33.0,true
W0088,Kadjina,37994,5844,HF00122,66.3,true
W0094,Jostsili,18434,2686,HF00132,118.3,true
W0122,Yobtiyi,14794,2319,HF00132,61.5,true
W0127,Gwotidu,6917,1250,HF00132,92.3,true
W0131,Agbtifa,12792,2262,HF00132,53.7,true
W0137,Funtsiwa,12133,2240,HF00132,23.3,true
W0083,Adetidu,46928,8295,HF00138,84.7,true
W0096,Malsana,44341,6921,HF00138,33.7,true
W0110,Ekeluwa,48374,8707,HF00124,52.6,true
W0111,Lokngowa,41058,6408,HF00139,115.0,true
W0138,Banrija,26062,4715,HF00145,28.7,true
W0139,Katshale,36171,5457,HF00158,60.4,true
W0154,Hanluta,26302,3842,HF00158,72.9,true
