ward_code,ward_name,total_population,population_under5,travel_time_to_adequate_min,nearest_adequate_facility_id,travel_time_to_any_facility_min,nearest_any_facility_id,gap_type
W0228,Yeldule,30843,4790,159.4,HF00692,139.3,HF00580,facility_absent
W0169,Adelawa,13033,1973,153.0,HF00132,61.3,HF00093,facility_absent
W0615,Aderari,19719,3028,140.5,HF01294,55.5,HF01325,facility_present_understaffed
W0009,Gwobele,22295,4039,139.4,HF00401,109.8,HF00367,facility_absent
W0454,Gwoyowo,56223,8971,138.8,HF00847,50.2,HF00845,facility_present_understaffed
W0553,Nasmitu,7788,1389,136.0,HF00850,92.0,HF01187,facility_absent
W0607,Ngetsiko,23816,4166,134.5,HF01294,49.5,HF01325,facility_present_understaffed
W0180,Irorawa,39550,6156,132.9,HF00139,68.6,HF00090,facility_absent
W0436,Shaduni,19802,3020,130.7,HF00847,42.1,HF00845,facility_present_understaffed
W0464,Tamnuta,36744,5704,129.1,HF00795,62.3,HF00811,facility_absent
W0449,Sharimi,23410,4323,128.0,HF01202,119.0,HF00907,facility_absent
W0243,Joskoko,29574,4486,127.9,HF00292,79.1,HF00321,facility_absent
W0524,Wurbali,68250,11686,125.6,HF01263,116.6,HF01264,facility_absent
W0144,Hanlashi,38731,6298,124.3,HF00176,94.1,HF00601,facility_absent
W0550,Ngebasa,3763,584,124.1,HF01304,45.1,HF01165,facility_present_understaffed
W0066,Zamyoru,38033,6227,123.1,HF00079,89.5,HF00120,facility_absent
W0277,Okenatu,6289,924,122.2,HF00692,102.1,HF00580,facility_absent
W0573,Riyjiyi,29232,4838,121.7,HF01304,42.7,HF01165,facility_present_understaffed
W0601,Riynawa,29087,5261,119.9,HF01196,77.1,HF01146,facility_absent
W0569,Lokmiba,30658,5152,119.9,HF00850,76.0,HF01187,facility_absent
W0554,Agbzali,61670,10296,119.7,HF00850,75.7,HF01187,facility_absent
W0094,Jostsili,18434,2686,118.3,HF00132,68.5,HF00111,facility_absent
W0324,Shabafa,12347,2159,117.4,HF00511,94.0,HF00513,facility_absent
W0498,Naslawa,38895,6378,117.1,HF01123,117.1,HF01123,facility_absent
W0523,Riynaja,2417,430,116.2,HF00795,49.4,HF00811,facility_present_understaffed
W0060,Tammari,14036,2490,115.7,HF00401,86.1,HF00367,facility_absent
W0221,Kuktiwa,10875,1908,115.7,HF00549,84.1,HF00100,facility_absent
W0047,Kuktsija,25296,4603,115.4,HF00401,85.8,HF00367,facility_absent
W0250,Soknudu,10680,1795,115.3,HF00578,81.3,HF00580,facility_absent
W0549,Tivdewo,50209,8502,115.1,HF01142,88.2,HF01161,facility_absent
W0111,Lokngowa,41058,6408,115.0,HF00139,90.1,HF00142,facility_absent
W0330,Daiyona,100817,17826,114.2,HF00772,108.7,HF00761,facility_absent
W0571,Uzoyodu,41393,6855,114.0,HF00807,74.8,HF01167,facility_absent
W0067,Zambeba,20011,2987,113.9,HF00079,80.7,HF00080,facility_absent
W0229,Soknari,33580,6063,113.7,HF00578,96.1,HF00575,facility_absent
W0493,Hanwani,16309,2376,113.6,HF01263,104.6,HF01264,facility_absent
W0556,Josngoni,6005,977,113.6,HF01304,34.6,HF01165,facility_present_understaffed
W0582,Kukbeta,14994,2264,112.0,HF01035,104.2,HF01032,facility_absent
W0430,Daikowa,33801,5804,111.9,HF00863,80.2,HF00866,facility_absent
W0570,Hantsiyi,7557,1285,111.4,HF01142,72.8,HF01163,facility_absent
W0587,Okemashi,29466,4729,110.1,HF01142,71.5,HF01163,facility_absent
W0575,Agbmama,34375,5281,108.5,HF00807,69.2,HF01167,facility_absent
W0112,Ekebako,29711,4602,107.5,HF00132,57.7,HF00111,facility_present_understaffed
W0529,Supdushi,13330,2373,107.4,HF01085,63.3,HF01127,facility_absent
W0318,Olumaru,27417,5009,104.9,HF00486,103.7,HF00482,facility_absent
W0492,Adetsiko,7474,1352,104.8,HF00795,38.0,HF00811,facility_present_understaffed
W0196,Naslama,12607,2091,104.7,HF00559,83.9,HF00165,facility_absent
W0252,Shawaba,16640,3059,104.1,HF00692,84.0,HF00580,facility_absent
W0383,Funkotu,8410,1531,103.7,HF00868,79.9,HF00865,facility_absent
W0226,Ngeyomi,35645,5691,102.5,HF00608,69.6,HF00611,facility_absent
W0526,Yobdede,21999,3533,102.4,HF01065,98.4,HF00949,facility_absent
W0262,Banshako,21735,3996,102.3,HF00510,46.1,HF00505,facility_present_understaffed
W0296,Umukeshi,35733,5585,102.2,HF00486,101.0,HF00482,facility_absent
W0172,Yelwari,32472,5890,100.9,HF00578,83.4,HF00575,facility_absent
W0478,Wurshani,36194,5689,100.3,HF00945,96.4,HF00967,facility_absent
W0162,Gwolude,56819,9726,100.0,HF00566,68.8,HF00569,facility_absent
W0273,Hanlushi,7093,1168,99.4,HF00461,86.4,HF00464,facility_absent
W0246,Tivbedu,14461,2586,99.4,HF00302,59.4,HF00315,facility_present_understaffed
W0317,Lokkoko,12865,2197,99.2,HF00547,65.3,HF00518,facility_absent
W0198,Banluma,24412,3832,98.6,HF00101,66.4,HF00090,facility_absent
W0600,Agbmami,27160,3980,98.4,HF01322,76.5,HF01147,facility_absent
W0618,Funnuta,63541,10296,98.1,HF01294,98.1,HF01294,facility_absent
W0016,Oluwasa,41061,6504,98.1,HF00029,67.6,HF00055,facility_absent
W0076,Sharama,16099,2706,97.3,HF00354,70.0,HF00396,facility_absent
W0125,Daishani,9610,1633,97.1,HF00139,72.2,HF00142,facility_absent
W0371,Wurzano,36608,5745,96.6,HF00524,88.0,HF00883,facility_absent
W0087,Ibabewo,18269,3321,96.4,HF00173,93.2,HF00205,facility_absent
W0563,Shatsino,25700,4369,96.2,HF01190,51.3,HF01159,facility_present_understaffed
W0421,Okeriyi,10389,1619,96.0,HF00900,72.1,HF00903,facility_absent
W0019,Aderita,73368,12037,95.6,HF00004,95.6,HF00004,facility_absent
W0203,Fundeko,40619,6982,95.3,HF00578,77.7,HF00575,facility_absent
W0151,Ekerini,30526,4939,95.3,HF00139,31.0,HF00090,facility_present_understaffed
W0237,Soksani,37864,5643,94.6,HF00510,38.5,HF00505,facility_present_understaffed
W0081,Umutiri,18226,3180,93.5,HF00185,93.5,HF00185,facility_absent
W0301,Agbsama,24268,3606,93.3,HF00684,61.3,HF00640,facility_absent
W0089,Naslayi,12625,1858,93.2,HF00398,67.4,HF00394,facility_absent
W0268,Ekemiwa,19759,3300,92.7,HF00659,92.7,HF00659,facility_absent
W0127,Gwotidu,6917,1250,92.3,HF00132,59.2,HF00130,facility_present_understaffed
W0528,Loktifa,6608,1108,92.0,HF00988,92.0,HF00988,facility_absent
W0177,Hanlana,45484,7265,91.9,HF00139,27.7,HF00090,facility_present_understaffed
W0451,Ekebawa,8701,1569,91.7,HF00827,55.3,HF00862,facility_present_understaffed
W0204,Josnata,17791,2921,91.5,HF00608,58.6,HF00611,facility_present_understaffed
W0010,Sokjitu,15308,2374,91.4,HF00068,81.9,HF00085,facility_absent
W0012,Hanmade,26381,4620,91.3,HF00047,79.4,HF00088,facility_absent
W0008,Shaluri,7290,1106,91.2,HF00023,91.2,HF00023,facility_absent
W0408,Okedesa,9769,1615,91.1,HF00531,90.5,HF00532,facility_absent
W0055,Tivjidu,19187,2852,90.8,HF00373,38.1,HF00367,facility_present_understaffed
W0551,Gwobali,15246,2654,90.8,HF01190,45.9,HF01159,facility_present_understaffed
W0004,Lokdushi,4841,863,90.8,HF00068,81.3,HF00085,facility_absent
W0280,Gwoyota,48785,8597,90.8,HF00265,84.2,HF00735,facility_absent
W0192,Duttsija,26154,4454,90.1,HF00158,59.0,HF00598,facility_present_understaffed
W0257,Kadbetu,43337,6303,90.0,HF00429,87.5,HF00425,facility_absent
W0347,Umurifa,18956,3222,89.9,HF00524,81.3,HF00883,facility_absent
W0484,Tivlano,45422,7802,89.7,HF00827,83.0,HF00830,facility_absent
W0515,Oluwaba,41540,6419,89.4,HF01233,55.0,HF01184,facility_present_understaffed
W0545,Irowani,127396,19076,89.4,HF01233,68.1,HF01234,facility_absent
W0238,Ngemafa,10716,1857,89.2,HF00578,55.2,HF00580,facility_present_understaffed
W0236,Nasyowa,15838,2924,88.4,HF00419,85.8,HF00427,facility_absent
W0232,Tivzana,15635,2575,88.2,HF00582,65.7,HF00583,facility_absent
W0433,Shangoru,34915,6230,87.9,HF01077,70.6,HF01080,facility_absent
W0093,Sharashi,28647,4314,87.8,HF00359,66.4,HF00380,facility_absent
W0109,Ekemari,15014,2544,87.3,HF00354,60.0,HF00396,facility_present_understaffed
W0455,Daizaba,31974,5605,87.2,HF00943,52.4,HF00955,facility_present_understaffed
W0480,Malnumi,8389,1358,86.9,HF01180,64.0,HF01182,facility_absent
W0025,Dutrimi,21898,3311,86.4,HF00025,86.4,HF00025,facility_absent
W0160,Katlatu,37198,6854,86.3,HF00176,56.1,HF00601,facility_present_understaffed
W0461,Lokwari,25999,4774,86.3,HF01112,79.4,HF01115,facility_absent
W0085,Banrana,9338,1516,85.8,HF00622,58.5,HF00199,facility_present_understaffed
W0297,Agbtiba,25472,4095,85.7,HF00893,69.6,HF00895,facility_absent
W0417,Daizana,18366,2762,85.6,HF00820,69.1,HF00817,facility_absent
W0038,Zammasa,11000,1920,85.6,HF00401,56.0,HF00367,facility_present_understaffed
W0479,Katyodu,25059,4392,85.2,HF01233,63.9,HF01234,facility_absent
W0001,Ibasashi,15636,2291,85.0,HF00068,75.5,HF00085,facility_absent
W0270,Ngeduru,40580,6791,84.8,HF00675,84.8,HF00675,facility_absent
W0411,Umuduno,30087,4458,84.7,HF00863,53.0,HF00866,facility_present_understaffed
W0083,Adetidu,46928,8295,84.7,HF00138,84.7,HF00138,facility_absent
W0354,Tivsako,23840,4066,84.3,HF00917,73.0,HF900919,facility_absent
W0540,Umuyoba,220047,33576,84.3,HF01072,47.8,HF00973,facility_present_understaffed
W0605,Wurbasa,65037,11672,84.2,HF01002,84.2,HF01002,facility_absent
W0063,Josmasa,12840,2206,84.1,HF00373,47.4,HF00369,facility_present_understaffed
W0034,Dutkoshi,21796,3203,83.1,HF00227,68.7,HF00182,facility_absent
W0521,Funwashi,15168,2577,83.1,HF00850,83.1,HF00850,facility_absent
W0310,Umubeli,145272,24374,82.9,HF00332,82.9,HF00332,facility_absent
W0339,Uzorimi,47819,7749,82.8,HF00782,82.8,HF00782,facility_absent
W0594,Uzomisa,136327,22276,82.7,HF01000,53.5,HF01004,facility_present_understaffed
W0462,Funngoru,53829,9389,82.3,HF00945,78.5,HF00967,facility_absent
W0590,Gwonashi,78373,14204,82.3,HF01035,74.5,HF01032,facility_absent
W0044,Supmano,36589,6205,82.2,HF00223,82.2,HF00223,facility_absent
W0539,Sokdeba,106552,19545,82.2,HF00984,68.5,HF00989,facility_absent
W0288,Daiwaru,31115,4774,82.1,HF00912,80.2,HF00467,facility_absent
W0298,Adetsile,26085,4743,81.9,HF00511,58.5,HF00513,facility_present_understaffed
W0486,Agbjisa,20259,3433,81.8,HF00945,77.9,HF00967,facility_absent
W0287,Banngotu,18583,2855,81.8,HF00511,58.4,HF00513,facility_present_understaffed
W0398,Gwobako,114383,20259,81.7,HF00787,78.1,HF00794,facility_absent
W0418,Banwama,63469,11492,81.6,HF00752,53.6,HF00756,facility_present_understaffed
W0142,Ngengoyi,33913,5390,81.4,HF00416,78.9,HF00412,facility_absent
W0219,Iroshaba,10791,1931,81.3,HF00587,60.7,HF00504,facility_absent
W0538,Baurino,51509,8208,81.0,HF01262,69.8,HF01234,facility_absent
W0132,Ibangoja,5079,776,80.7,HF00596,52.8,HF00628,facility_present_understaffed
W0503,Yobbafa,29444,4594,80.7,HF00827,43.9,HF00828,facility_present_understaffed
W0568,Yobkema,52632,8470,80.4,HF01142,53.4,HF01161,facility_present_understaffed
W0013,Baujina,43228,6799,80.4,HF00223,80.4,HF00223,facility_absent
W0121,Maldefa,39423,7093,80.4,HF00398,54.6,HF00394,facility_present_understaffed
W0595,Zamriru,33457,5800,80.4,HF01196,37.6,HF01146,facility_present_understaffed
W0448,Sokngono,29321,4854,80.3,HF00943,45.5,HF00955,facility_present_understaffed
W0513,Okekewa,16391,2627,80.2,HF00982,70.5,HF01127,facility_absent
W0530,Kadzaru,27863,4187,80.0,HF00988,80.0,HF00988,facility_absent
W0146,Riyjiwo,43412,7310,79.4,HF00596,79.4,HF00596,facility_absent
W0285,Kukrali,28554,4691,79.3,HF00675,79.3,HF00675,facility_absent
W0143,Okenami,33167,4947,79.3,HF00139,54.4,HF00142,facility_present_understaffed
W0263,Zamlama,30745,5289,79.1,HF00492,79.1,HF00492,facility_absent
W0614,Wurngomi,45660,8304,78.9,HF01000,78.9,HF01000,facility_absent
W0395,Supyomi,18207,3135,78.9,HF00900,55.0,HF00903,facility_present_understaffed
W0197,Tivjija,70065,10763,78.9,HF00302,21.2,HF00307,facility_present_understaffed
W0212,Wurngowo,115247,16782,78.8,HF00280,67.9,HF00283,facility_absent
W0508,Uzotsija,52312,7858,78.7,HF01065,74.7,HF00949,facility_absent
W0244,Yobnadu,39891,6419,78.7,HF00510,78.7,HF00510,facility_absent
W0211,Daideno,15540,2504,78.7,HF00587,58.1,HF00504,facility_present_understaffed
W0293,Olukoyi,55159,10162,78.6,HF00332,78.6,HF00332,facility_absent
W0472,Shayoshi,56089,9385,78.4,HF01209,49.2,HF01232,facility_present_understaffed
W0579,Irozari,60964,10835,78.4,HF00988,78.4,HF00988,facility_absent
W0357,Tivdeli,5469,800,78.4,HF00667,61.3,HF00643,facility_absent
W0101,Dairimi,23866,3936,78.3,HF00395,63.9,HF00397,facility_absent
W0315,Ibazawa,25866,4297,78.2,HF00511,54.8,HF00513,facility_present_understaffed
W0397,Ibangoba,17016,3113,78.1,HF00787,74.4,HF00794,facility_absent
W0165,Funbaja,21338,3535,78.1,HF00451,78.1,HF00451,facility_absent
W0205,Okelaja,7963,1195,78.1,HF00468,78.1,HF00468,facility_absent
